"Status","File","ProductNumber","ProductName","Reason","Warnings","ImagePath","OcrText"
"Imported","WhatsApp Image 2026-03-07 at 12.47.40 PM.jpeg","970-051-4730-HT","Clutch Servo","Recognized and added to generated catalogue data.","","assets/img/products/970-051-4730-HT.jpeg","M16 125mm M 14 129mm Huatai• CLUTCH BOOSTER CYLINDER nry cuEnnEt-MR 970 0514730-HT HT5877 CLUTCH SERVO"
"Imported","WhatsApp Image 2026-03-16 at 6.14.19 PM.jpeg","61800010113-HT","Oil Cooler Assembly","Recognized and added to generated catalogue data.","","assets/img/products/61800010113-HT.jpeg","O) O HI 78mm L 250mm Huatai' OIL COOLER CORE o PAAI,IATOP MACARHblV1 TEnnOOEMEHHMK 9 SLIDE 61800010113-HT HT2078 OIL COOLER ASSY 9 SLIDE WD618"
"Imported","WhatsApp Image 2026-04-12 at 1.11.37 PM.jpeg","612600082055-HT","Filter Head","Recognized and added to generated catalogue data.","","assets/img/products/612600082055-HT.jpeg","use 2K M16x1.5 2 PIN 612600082055-HT HT4933 FILTER HEAD SHACMAN HOWO"
"Imported","WhatsApp Image 2026-04-12 at 12.17.52 PM.jpeg","61560040068","Cylinder Head Assembly","Recognized and added to generated catalogue data.","Unhyphenated product number needs manual confirmation.","assets/img/products/61560040068.jpeg","2 EVB HOLE Huatai China Auto parts Specialist 61560040068 MADE IN CHINA Cylinder Head Assy SINOTRUK WD615 Euro 11 EVB 1 pc 19.5KG HT2221H 012S 13009010002103 61560040068 ASSY-HT HT2221 CYLINDER HEAD ASSY WD615 HOW060 GOT EVB HOLE"
"Imported","WhatsApp Image 2026-04-12 at 12.52.47 PM.jpeg","WG-992-516-0613-HT","Clutch Bearing Assembly","Recognized and added to generated catalogue data.","","assets/img/products/WG-992-516-0613-HT.jpeg","OD 27 FORK 93 66 OD 144 HI 121 we-992 516 0613-HT HT5914 CLUTCH BRG ASSY SITRAK T7H AUMAN BODY NUMBER 783745 VALEO FOTON C7H FORK 93"
"Imported","WhatsApp Image 2026-04-12 at 3.06.25 PM.jpeg","WG-156-005-1001-HT","Intake Valve","Recognized and added to generated catalogue data.","","assets/img/products/WG-156-005-1001-HT.jpeg","STEM Ill-nm. VALVE KWIAH L 159.5 OD 55 WG-156 005 IOOI-HT HT2109 IN VALVE WD615.47 OD 55 STEM 11L 159.5 WD12"
"Imported","WhatsApp Image 2026-04-12 at 3.15.10 PM.jpeg","VG-150-001-0334-HT","Oil Cooler Assembly","Recognized and added to generated catalogue data.","","assets/img/products/VG-150-001-0334-HT.jpeg","O HI 78mm L 250mm OIL COOLER CORE O PAAVIATOP MACJIRHbln TEnnOOSMEHHVIK 21-1 ID 24mm 8 SLIDE VC-150 0010334-HT HT2077 OIL COOLER ASSY WD615.47 8 SLIDE"
"Imported","WhatsApp Image 2026-04-13 at 1.12.16 PM.jpeg","VG-150-003-0009-HT","Connecting Rod Assembly","Recognized and added to generated catalogue data.","","assets/img/products/VG-150-003-0009-HT.jpeg","Huatai CONNECTING ROD UJATYH ABV1rATEflR U.S. ASIA ECONOMIC TRAOE COOPERATION us couro- ID 50 ID 88 VC-150 003 0009-HT HT1542 CON ROD ASSY WD615' K TYPE SLANTING L 320M"
"Imported","WhatsApp Image 2026-04-13 at 12.05.09 PM.jpeg","VG-156-008-0278-HT","Nozzle Pipe Set","Recognized and added to generated catalogue data.","","assets/img/products/VG-156-008-0278-HT.jpeg","Huatai Cluna Auto Parts SFOGiaIist MADE IN CHINA OD 7mm '0 VGI 560080278A Fuel Injection Pipe SINOTRUK WD615 Euro 11 0126 13001052002101 VC-156 008 0278-HT HT4133 NOZZLE PIPE SET 1 T06 HOW0371 BODY 7MM"
"Imported","WhatsApp Image 2026-04-13 at 3.43.09 PM.jpeg","200V06500-6694-HT","Water Pump Assembly","Recognized and added to generated catalogue data.","","assets/img/products/200V06500-6694-HT.jpeg","61-1 M8 OD 56 OD 108 HI 130 Huatai China Auto Parts Specialiat MADE IN CHINA 200V06500-6694 Water Pump Assy MAN MCI 1 3.4KG HT4241 H 1200sc.""t92SC' 200V06500-6694-HT HT4241 W/PUMP HOHA NJ MCII MAN"
