file,finalStatus,detectedProductCode,autoParserCode,autoParserStatus,lowConfidence,duplicate,missingDescription,brand,vehicleModel,description,imagePath,notes,ocrText
WhatsApp Image 2026-08-04 at 10.35.05 PM.jpeg,confirmed,3551020-T37E4,SLACK-ADJUSTER-RH-14T,Imported,True,False,False,,DF,SLACK ADJUSTER RH 14T DF,assets/img/products/3551020-T37E4.jpeg,Auto parser required visual correction; main red product code is readable.,"ID 12mm
c-c 140
L 228
3551020-T37E4
A020260417
SLACK ADJUSTER RH 14T DF
ID 35
14T"
WhatsApp Image 2026-08-04 at 10.35.06 PM (1).jpeg,confirmed,S4460-EW020-UNI,S4460-EW020-UNI,Imported,False,False,False,UNIEURO,"VALIDUS GH8J, J08E",SLACK ADJ 14T FRT LH VALIDUS GH8J J08E,assets/img/products/S4460-EW020-UNI.jpeg,Confirmed from OCR and visible main product code.,"EURO
GENUINE
ID 13mm
C-C 135mm
UNIEURO
sa4E0-EWC20 6251.
14T
ID 35mm
S4460-EW020 UNI
SLACK ADJ 14T FRTLH VALIDUS GH8J
J08E
79884 NUMBER"
WhatsApp Image 2026-08-04 at 10.35.06 PM.jpeg,confirmed,3551025-T37E4,SLACK-ADJUSTER-LH-14T,Imported,True,False,False,,DF,SLACK ADJUSTER LH 14T DF,assets/img/products/3551025-T37E4.jpeg,Auto parser required visual correction; main red product code is readable.,"ID 12mm
c-c 140
L 228
3551025-T37E4
AQ20260417
SLACK ADJUSTER LH 14T DF
ID 35
14T"
WhatsApp Image 2026-08-04 at 10.35.07 PM (1).jpeg,confirmed,S4450-EW020-UNI,S4450-EW020-UNI,Imported,False,False,False,UNIEURO,"VALIDUS GH8J, J08E",SLACK ADJ 14T FRT RH VALIDUS GH8J J08E,assets/img/products/S4450-EW020-UNI.jpeg,Confirmed from OCR and visible main product code.,"EURO
GENUINE
ID 13mm
C-C 135mm
14T
35mm
S4450-EW020 UNI
SLACK ADJ 14T FRT RI-I VALIDUS GH8J
J08E J08E
BODY 79883"
WhatsApp Image 2026-08-04 at 10.35.07 PM.jpeg,confirmed,AZ-997-044-0042,AZ-997-044-0042,Imported,False,False,False,SINOTRUK HOWO,HOWO70,FRT SLACK ADJUSTER RH 26T HOWO70 ID 42,assets/img/products/AZ-997-044-0042.jpeg,Confirmed from OCR and visible main product code.,"ID 42mm
26T
202019Pr
C-C 180mm
ID 14mm
AZ-997 044 0042
FRT SLACK ADJUSTER RH 26T HOW070"
WhatsApp Image 2026-08-04 at 10.35.08 PM (1).jpeg,confirmed,WG-910-034-0057,WG-910-034-0057,Imported,False,False,False,SINOTRUK HOWO,HOWO371,SLACK ADJ 19T REAR RH HOWO371,assets/img/products/WG-910-034-0057-343E002276C2.jpeg,Confirmed from OCR and visible main product code.,"19T
ID 35mm
YG9100340057>-•
YBi0260519
ID 15mm
L 205mm
HG9100340C5t
HI 84mm
WG-910 034 0057
SLACK ADJ 19T REAR RH HOW0371"
WhatsApp Image 2026-08-04 at 10.35.08 PM (2).jpeg,confirmed,AZ-997-044-0041,AZ-997-044-0041,Needs review,True,False,False,SINOTRUK HOWO,HOWO70,FRT SLACK ADJUSTER LH 26T HOWO70 ID 42,assets/img/products/AZ-997-044-0041.jpeg,Auto parser required visual correction; main red product code is readable.,"ID 42mm
26T
c-c 180mm
ID 14mm
AZ-997 044 0041
FRT SLACK ADJUSTERLH 26T HOW070 ID 42"
WhatsApp Image 2026-08-04 at 10.35.08 PM (3).jpeg,confirmed,3501205-0402Z,3501205-0402Z,Imported,False,False,False,DAYUN,DAYUN 6X4,FRT SLACK ADJUSTER 19T L/R DAYUN 6X4 AUTO ID 38,assets/img/products/3501205-0402Z.jpeg,Confirmed from OCR and visible main product code.,"C-C 110mm
ID 14mm
HI 51mm
19T
ID 34/38mm
3501205-0402Z
FRT SLACK ADJUSTER 19T L/R
DAYUN 6X4 AUTO
ID 38 L 7 1/4"" (184MM) GOT 1 HOLE M14"
WhatsApp Image 2026-08-04 at 10.35.08 PM.jpeg,confirmed,WG-910-034-0056,SLACK-ADJ-19T-REAR,Imported,True,False,False,SINOTRUK HOWO,HOWO371,SLACK ADJ 19T REAR LH HOWO371,assets/img/products/WG-910-034-0056-0C37F307D571.jpeg,Auto parser required visual correction; main red product code is readable.,"19T
ID 35mm
wå9i00340056.
HB20260519
L 205mm
ID 15mm
WG9100340056
HI 84mm
SLACK ADJ 19T REAR LH HOW0371"
WhatsApp Image 2026-08-04 at 10.35.09 PM (1).jpeg,confirmed,SQ3502140KA01,SQ3502140KA01,Imported,False,False,False,HANVAN,XCMG,SLACK ADJUSTER REAR 26T LH XCMG,assets/img/products/SQ3502140KA01.jpeg,Confirmed from OCR and visible main product code.,"26T
ID 39/42mm
SQ3502145KA01
320230720
C-C 190mm
BF20230720
HI 92mm
ID 16mm
SQ3502140KA01
SLACK ADJUSTER REAR 26T LI-I XCMG"
WhatsApp Image 2026-08-04 at 10.35.09 PM (2).jpeg,confirmed,5204200238,5204200238,Imported,False,False,False,,,SLACK ADJUSTER RH 26T,assets/img/products/5204200238.jpeg,Confirmed from OCR and visible main product code.,"ID 14mm
HI 66mm
C-C 115mm
26T
ID 39/42mm
5204200238
SLACK ADJUSTER RH 26T
Oil)
SLACK ADJUSTER RI-1 26T"
WhatsApp Image 2026-08-04 at 10.35.09 PM.jpeg,confirmed,5204200138,5204200138,Imported,False,False,False,,,SLACK ADJUSTER LH 26T,assets/img/products/5204200138.jpeg,Confirmed from OCR and visible main product code.,"ID 14mm
HI 66mm
C-C 115mm
26T
ID 39/42mm
5204200138
SLACK ADJUSTER LH 26T"
WhatsApp Image 2026-08-04 at 10.35.10 PM (1).jpeg,confirmed,SQ3501210KA01,Q3501210KA01,Imported,True,False,False,HANVAN,XCMG,SLACK ADJUSTER FRT 26T L/R XCMG ID 42,assets/img/products/SQ3501210KA01.jpeg,Auto parser required visual correction; main red product code is readable.,"26T
ID 39/42mm
C-C 148mm
o SQ3501210KF01
PX25T
AQ20260408
ID 14mm
SQ3501210KF01
$Q3501210KA01
SLACK ADJUSTER FRT 26T L/R XCMG
ID 42 (I-I-H L 204MM) GOT 1 HOLE M16"
WhatsApp Image 2026-08-04 at 10.35.10 PM (2).jpeg,confirmed,4041,DZ91C044C72,Imported,True,False,False,XIN SENG,YUTONG,SLACK ADJUSTER AUTO 14T LH YUTONG,assets/img/products/4041.jpeg,Auto parser required visual correction; main red product code is readable.,"C-C 165mm
C-C 31mm
2K ID 13mm
HI 82mm
14T
ID 35/40mm
4041
'DZ91C044C±72
240703
SLACK ADJUSTER AUTO 14T LI-I YUTONG
SLACK ADJUSTER AUTO 14T LH YUTONG"
WhatsApp Image 2026-08-04 at 10.35.10 PM.jpeg,confirmed,4040,DZG1004405-L,Imported,True,False,False,XIN SENG,YUTONG,SLACK ADJUSTER AUTO 14T RH YUTONG,assets/img/products/4040.jpeg,Auto parser required visual correction; main red product code is readable.,"C-C 31mm
2H ID 13mm
HI 82mm
'DZg1004405/l
C-C 165mm
14T
ID 35/40mm
4040
SLACK ADJUSTER AUTO 14T RH YUTONG"
WhatsApp Image 2026-08-04 at 10.35.11 PM (1).jpeg,confirmed,2400070-LE030,2400070-LE030,Imported,False,False,False,JAC,JAC,SLACK ADJUSTER LH JAC 10T 38MM,assets/img/products/2400070-LE030.jpeg,Confirmed from OCR and visible main product code.,"IOT
ID 31/38mm
M16
2400070-LE030,
38rnm
G) 2024M
SLACK ADJUSTER LH JAC
IOT 38MM"
WhatsApp Image 2026-08-04 at 10.35.11 PM (2).jpeg,confirmed,2400080-LE030,22400080-LE030,Needs review,True,False,False,JAC,JAC,SLACK ADJUSTER RH JAC 10T 38MM,assets/img/products/2400080-LE030.jpeg,Auto parser required visual correction; main red product code is readable.,"M16
22400080-LE030
10T 38mmTv
'2024.04
IOT
ID 31/38mm
2400080-LE030
SLACK ADJUSTER RH JAC
IOT 38MM"
WhatsApp Image 2026-08-04 at 10.35.11 PM.jpeg,confirmed,47480-1590-TWINKLE,47480-1590-TWINKLE,Imported,False,False,False,TWINKLE,GREEN,SLACK ADJ 14T L/R GREEN 40MM ZM,assets/img/products/47480-1590-TWINKLE.jpeg,Confirmed from OCR and visible main product code.,"N KLE
C-C 164mm
ID 12mm
14T
ID 35/40mm
47480-1590 TWINKLE
SLACK ADJ 14T L/R GREEN 40MM ZM"
WhatsApp Image 2026-08-04 at 10.35.12 PM (1).jpeg,confirmed,47480-2760,47480-2760,Imported,False,False,False,,PROFIA,SLACK ADJUSTER 19T REAR FRT LH PROFIA,assets/img/products/47480-2760.jpeg,Confirmed from OCR and visible main product code.,"HI 65mm
C-C 143mm
EURO
Slack adjuster
ID 13mm
19T
ID 34/38mm
47480-2760
SLARK ADJUSTER 19T REAR FRT LH PROFIA"
WhatsApp Image 2026-08-04 at 10.35.12 PM (2).jpeg,confirmed,1112829-SORL,1112829-SORL,Imported,False,False,False,SORL,SC124,FRT SLACK ADJUSTER LH SC124 10T ID 38MM,assets/img/products/1112829-SORL.jpeg,Confirmed from OCR and visible main product code.,"C-C 155mm
SÉRL
ID 16mm
IOT
ID 31/38mm
1112829-SORL
FRT SLACK ADJUSTER LH SC124
IOT ID 38M
HI 80mm"
WhatsApp Image 2026-08-04 at 10.35.12 PM (3).jpeg,confirmed,1112833-SORL,1112833-SORL,Imported,False,False,False,SORL,SC124,REAR SLACK ADJUSTER LH SC124 10T ID 38MM,assets/img/products/1112833-SORL.jpeg,Confirmed from OCR and visible main product code.,"C-C 130mm
IOT
HI 51mm
- ID 31/38mm
1112833-SORL
REAR SLACK ADJUSTER LH sc124
IOT ID 38MM"
WhatsApp Image 2026-08-04 at 10.35.12 PM.jpeg,confirmed,47480-2761,47480-2761,Imported,False,False,False,,PROFIA,SLACK ADJUSTER 19T REAR FRT RH PROFIA,assets/img/products/47480-2761.jpeg,Confirmed from OCR and visible main product code.,"C-C 143mm
EURO)
Slack adjuster
47480-2761
SLARK ADJUSTER 19T REAR FRT RH PROFIA"
WhatsApp Image 2026-08-04 at 10.35.13 PM (1).jpeg,confirmed,DZ-911-244-0094,XCMG-30T-SHACMAN-F3000,Imported,True,False,False,HANDE,"XCMG 30T, SHACMAN F3000, HANVAN",SLACK ADJUSTER 26T HANDE AXLE ID 40M XCMG 30T SHACMAN F3000 FRT HANVAN,assets/img/products/DZ-911-244-0094.jpeg,Auto parser required visual correction; main red product code is readable.,"ID 14mm
C-C 120mm
26T
ID 40/42mm
DZ9112440094
A020241208
6
SLACK ADJUSTER 26T
HANDE AXLE ID 40M
XCMG 30T SHACMAN F3000 FRT HANVAN"
WhatsApp Image 2026-08-04 at 10.35.13 PM (2).jpeg,confirmed,DZ-911-234-0187,DZ-911-234-0187,Imported,False,False,False,HANDE,TONLY,SLACK ADJUSTER 19T TONLY FOR HANDE AXLE ID 38M LONG 240M,assets/img/products/DZ-911-234-0187.jpeg,Confirmed from OCR and visible main product code.,"19T
ID 35/38mm
• 4•ir,'_
.DZ9112340iÅi:
+16202512246,
C-C 162mm
ID 14mm
Dz-911 234 0187
SLACK ADJUSTER 19T TONLY
FOR HANDE AXLE ID 38M LONG 240M"
WhatsApp Image 2026-08-04 at 10.35.13 PM.jpeg,confirmed,47480-1860-UNI,47480-1860-UNI,Imported,False,False,False,UNIEURO,"FM2P, PROFIA, GI-183",FRT SLACK ADJ LH 14T FM2P PROFIA GI-183 AUTO BODY NUMBER 8040,assets/img/products/47480-1860-UNI.jpeg,Confirmed from OCR and visible main product code.,"C-C 138mm
47480-1860-UNI
ERT SLACK ADJ LH 14T FM2P PROFA GI-183
AUTO BODY NUMBER 8040 (12256 14T-L1 FR/LH )"
