"Status","File","ProductNumber","ProductName","Reason","Warnings","ImagePath","OcrText"
"Needs review","WhatsApp Image 2026-04-02 at 6.59.10 PM.jpeg","13450-EOL60","Flywheel","OCR result needs manual review before import.","Product number contains OCR-ambiguous O/0 characters.","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\WhatsApp Image 2026-04-02 at 6.59.10 PM.jpeg","ID 40 HI 12 ID 357 OD 393 129T ID 187 12"" 42 13450-EOL60 FLYWHEEL 12"" 81-1 129T ID 40 N04CT DUTRO W04 S05 GEAR BIGGER THAN FLIWHEEL HI 42"
"Needs review","WhatsApp Image 2026-04-03 at 9.39.39 AM.jpeg","ME-012551","Flywheel","OCR result needs manual review before import.","","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\WhatsApp Image 2026-04-03 at 9.39.39 AM.jpeg","GEAR OD 348 ID 315 C) ID 40 HI 15 114T 6H M14 ID 100 ID 173mm 117/8 ""1300mm HI 37 ME 012551 FLYWHEEL ASSY 11"" 114T 61-4 MIT CANTER 4D34 FE639 M14"
"Needs review","WhatsApp Image 2026-04-17 at 10.37.35 AM.jpeg","","","No reliable product number candidate found.","","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\WhatsApp Image 2026-04-17 at 10.37.35 AM.jpeg","GEAR OD 485 ID 439 91-116mm ID 116 (7 c ID 62 HI 21 137T ABS HOLE 45 ID 245mm 17"" 1432mm HI 98 HINO-rw-pnc-45H FLYWHEEL 17"" ABS 45 ID 62 PIIC COMMAINRAIL 137T 91-1 (GOT ABS HOLE 45 HOLE ) GOT LEG"
"Needs review","WhatsApp Image 2026-04-17 at 6.04.37 PM.jpeg","12310-9ZOOD","Flywheel","OCR result needs manual review before import.","Product number contains OCR-ambiguous O/0 characters.","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\WhatsApp Image 2026-04-17 at 6.04.37 PM.jpeg","GEAR OD 440 ID 402 IOH 16mm ID 125 ID 46 HI 22 137T ABS HOLE 58 o ID 235mm 17 314"" / 500mm HI 62 12310-9ZOOD FLYWHEEL 17"" IOH 137T NS QUESTER GI-IB 21499565"
"Needs review","WhatsApp Image 2026-04-21 at 10.27.46 AM.jpeg","12310-96450-MIVAKE","Flywheel","OCR result needs manual review before import.","Product-number candidate appears to include extra descriptive text. | Long alphabetic suffix may be OCR bleed from the description.","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\WhatsApp Image 2026-04-21 at 10.27.46 AM.jpeg","GEAR OD 465 ID 427 153T 12H MIO 17 118"" 1435m m HI 105 12310-96450-MIVAKE FLYWHEEL 17"" 153T IOH PE6 PF6 DIAPHRAGM COVER"
"Needs review","WhatsApp Image 2026-04-30 at 4.23.05 PM.jpeg","ME-072584","Flywheel","OCR result needs manual review before import.","","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\WhatsApp Image 2026-04-30 at 4.23.05 PM.jpeg","GEAR OD 394 ID 353 91-1 MIO 61-117mm ID 100 -l ID 47 HI 14 129T ABS HOLE— 45 ID 215 143/8"" / 650mm ME 072584 FLYWHEEL 14"" 61--1 129T 6D16 6M60"
"Needs review","WhatsApp Image 2026-04-30 at 5.41.42 PM.jpeg","ME-072448","Flywheel","OCR result needs manual review before import.","","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\WhatsApp Image 2026-04-30 at 5.41.42 PM.jpeg","GEAR OD 394 ID 353 12H MIO 6H 16mm ID 100 21-1 M14 IH 14mm 9 ID 47 HI 14 129T X ABS HOLE ID 215 14"" / 357mm J HI 79 ME 072448 FLYWHEEL 14"" 6H 129T 6D16 6D14 2AT 350M 17M FM658 FWA658 6D17 SAME"
"Needs review","WhatsApp Image 2026-07-01 at 3.29.23 PM.jpeg","","","No reliable product number candidate found.","Product name could not be identified from OCR text.","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\WhatsApp Image 2026-07-01 at 3.29.23 PM.jpeg","L 15 718"" 1402mm L 15 718"" /402mm a WIDTH 50"" 1273mm ETA-ZOOL"
"Needs review","WhatsApp Image 2026-07-03 at 10.38.35 AM.jpeg","26335-Z0031","","OCR result needs manual review before import.","Product name could not be identified from OCR text.","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\WhatsApp Image 2026-07-03 at 10.38.35 AM.jpeg","UAGNETIC VN-195 24v CORPORAT ION YADE IN JAPAN VN 195-HKT [26335-Z50071 UGNEIIC (e) VN-188 24V HKT CORPORATION IN JAPAN VN 188-HKT [26335-Z0031"
"Needs review","WhatsApp Image 2026-07-07 at 12.03.54 PM.jpeg","","","No reliable product number candidate found.","","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\WhatsApp Image 2026-07-07 at 12.03.54 PM.jpeg","nec.Z66 4210041 DOOR HINGE UPPER LH HOW070,A7"
